Date,Impressions,Clicks
2020-01-01,20795,763.0
2020-01-02,5860,508.0
2020-01-03,43158,3210.0
2020-01-04,49732,3134.0
2020-01-05,16284,569.0
2020-01-06,11265,1035.0
2020-01-07,21850,307.0
2020-01-08,42194,837.0
2020-01-09,26962,1219.0
2020-01-10,49131,1041.0
2020-01-11,21023,2019.0
2020-01-12,46090,3771.0
2020-01-13,6685,222.0
2020-01-14,5769,363.0
2020-01-15,7433,731.0
2020-01-16,10311,923.0
2020-01-17,42819,2743.0
2020-01-18,44188,4035.0
2020-01-19,22568,2234.0
2020-01-20,24769,1904.0
2020-01-21,33693,533.0
2020-01-22,11396,525.0
2020-01-23,32480,2773.0
2020-01-24,46434,1427.0
2020-01-25,30658,2598.0
2020-01-26,23942,498.0
2020-01-27,23431,333.0
2020-01-28,7747,345.0
2020-01-29,5189,69.0
2020-01-30,24118,2319.0
2020-01-31,40773,3439.0
2020-02-01,6899,566.0
2020-02-02,6267,417.0
2020-02-03,36551,1077.0
2020-02-04,16394,928.0
2020-02-05,8556,545.0
2020-02-06,8890,508.0
2020-02-07,46606,1557.0
2020-02-08,35740,2014.0
2020-02-09,19502,1057.0
2020-02-10,26777,2668.0
2020-02-11,15627,1418.0
2020-02-12,13792,713.0
2020-02-13,48323,3192.0
2020-02-14,48021,3712.0
2020-02-15,13433,176.0
2020-02-16,48001,4346.0
2020-02-17,16016,1399.0
2020-02-18,28897,1478.0
2020-02-19,7612,344.0
2020-02-20,28483,984.0
2020-02-21,22159,1172.0
2020-02-22,49974,699.0
2020-02-23,45994,3987.0
2020-02-24,19541,257.0
2020-02-25,40920,1621.0
2020-02-26,31531,2958.0
2020-02-27,6585,501.0
2020-02-28,8943,315.0
2020-02-29,28939,947.0
2020-03-01,24457,255.0
2020-03-02,6021,437.0
2020-03-03,16653,239.0
2020-03-04,48573,2814.0
2020-03-05,18417,1778.0
2020-03-06,45757,908.0
2020-03-07,14692,1329.0
2020-03-08,11873,1178.0
2020-03-09,10675,165.0
2020-03-10,5161,461.0
2020-03-11,42065,2374.0
2020-03-12,31557,2890.0
2020-03-13,38763,2380.0
2020-03-14,37606,2617.0
2020-03-15,16534,974.0
2020-03-16,34127,2996.0
2020-03-17,45397,3452.0
2020-03-18,30851,1755.0
2020-03-19,6016,530.0
2020-03-20,29253,938.0
2020-03-21,29276,707.0
2020-03-22,28247,690.0
2020-03-23,29300,1173.0
2020-03-24,13529,425.0
2020-03-25,22262,2086.0
2020-03-26,14268,278.0
2020-03-27,26271,1915.0
2020-03-28,17185,464.0
2020-03-29,26243,2344.0
2020-03-30,44099,4256.0
2020-03-31,13571,704.0
2020-04-01,44976,4008.0
2020-04-02,43044,450.0
2020-04-03,45774,3835.0
2020-04-04,7568,231.0
2020-04-05,7027,644.0
2020-04-06,7695,77.0
2020-04-07,10258,616.0
2020-04-08,27002,2108.0
2020-04-09,44504,1481.0
2020-04-10,38159,1044.0
2020-04-11,18986,333.0
2020-04-12,17666,695.0
2020-04-13,43660,2636.0
2020-04-14,8561,174.0
2020-04-15,31854,1398.0
2020-04-16,43952,475.0
2020-04-17,27662,2314.0
2020-04-18,13392,288.0
2020-04-19,35535,1261.0
2020-04-20,18067,210.0
2020-04-21,28599,1398.0
2020-04-22,40222,3443.0
2020-04-23,16837,762.0
2020-04-24,19039,497.0
2020-04-25,35818,2787.0
2020-04-26,24115,1953.0
2020-04-27,15965,409.0
2020-04-28,29538,2344.0
2020-04-29,47530,4527.0
2020-04-30,10056,251.0
2020-05-01,37482,2975.0
2020-05-02,13110,967.0
2020-05-03,18773,987.0
2020-05-04,32266,490.0
2020-05-05,22412,374.0
2020-05-06,38270,3318.0
2020-05-07,11910,1180.0
2020-05-08,30446,2156.0
2020-05-09,5206,261.0
2020-05-10,26518,1810.0
2020-05-11,27361,1737.0
2020-05-12,28419,1265.0
2020-05-13,46523,740.0
2020-05-14,27403,2300.0
2020-05-15,23141,1005.0
2020-05-16,19820,1658.0
2020-05-17,45342,1483.0
2020-05-18,11374,114.0
2020-05-19,6678,162.0
2020-05-20,38827,2025.0
2020-05-21,21198,2013.0
2020-05-22,14914,286.0
2020-05-23,32890,2857.0
2020-05-24,27299,1567.0
2020-05-25,48585,4097.0
2020-05-26,48689,1794.0
2020-05-27,47557,4070.0
2020-05-28,49020,3899.0
2020-05-29,7693,236.0
2020-05-30,34467,752.0
2020-05-31,34723,3059.0
2020-06-01,8627,834.0
2020-06-02,30939,396.0
2020-06-03,47941,3634.0
2020-06-04,26834,2464.0
2020-06-05,23047,2008.0
2020-06-06,31105,3011.0
2020-06-07,15230,1194.0
2020-06-08,20707,1031.0
2020-06-09,26976,1027.0
2020-06-10,49262,1914.0
2020-06-11,28776,2163.0
2020-06-12,35080,2705.0
2020-06-13,6306,176.0
2020-06-14,11776,1037.0
2020-06-15,32251,2397.0
2020-06-16,14474,877.0
2020-06-17,45294,2375.0
2020-06-18,26959,1587.0
2020-06-19,10530,256.0
2020-06-20,34320,972.0
2020-06-21,8748,159.0
2020-06-22,36968,880.0
2020-06-23,37562,1909.0
2020-06-24,18545,1070.0
2020-06-25,5663,65.0
2020-06-26,39766,3249.0
2020-06-27,12994,473.0
2020-06-28,33021,3040.0
2020-06-29,35303,3427.0
2020-06-30,8304,221.0
2020-07-01,44353,2288.0
2020-07-02,22675,229.0
2020-07-03,49417,3155.0
2020-07-04,28938,1871.0
2020-07-05,28664,925.0
2020-07-06,6636,399.0
2020-07-07,25080,759.0
2020-07-08,32728,800.0
2020-07-09,31736,2178.0
2020-07-10,33673,1324.0
2020-07-11,42505,2683.0
2020-07-12,5854,286.0
2020-07-13,29548,2913.0
2020-07-14,43623,1023.0
2020-07-15,12392,642.0
2020-07-16,26556,1891.0
2020-07-17,43559,1986.0
2020-07-18,31309,3059.0
2020-07-19,26919,2018.0
2020-07-20,9931,686.0
2020-07-21,37970,2966.0
2020-07-22,49215,4711.0
2020-07-23,17688,1622.0
2020-07-24,30342,2281.0
2020-07-25,42157,3263.0
2020-07-26,7327,169.0
2020-07-27,45772,881.0
2020-07-28,45545,2795.0
2020-07-29,5197,60.0
2020-07-30,28509,1522.0
2020-07-31,39698,1148.0
2020-08-01,49542,2038.0
2020-08-02,20087,1603.0
2020-08-03,27671,2620.0
2020-08-04,30184,498.0
2020-08-05,32848,1907.0
2020-08-06,47107,4212.0
2020-08-07,25666,447.0
2020-08-08,49357,4156.0
2020-08-09,20708,873.0
2020-08-10,31370,1223.0
2020-08-11,7811,765.0
2020-08-12,11546,324.0
2020-08-13,39754,2877.0
2020-08-14,35206,2954.0
2020-08-15,46106,631.0
2020-08-16,16411,1154.0
2020-08-17,7911,756.0
2020-08-18,6734,142.0
2020-08-19,23227,2105.0
2020-08-20,13680,869.0
2020-08-21,24360,1595.0
2020-08-22,23343,1521.0
2020-08-23,10759,396.0
2020-08-24,28078,2644.0
2020-08-25,40153,3825.0
2020-08-26,16111,1067.0
2020-08-27,42504,3421.0
2020-08-28,6802,442.0
2020-08-29,13155,705.0
2020-08-30,13120,911.0
2020-08-31,44384,2652.0
2020-09-01,26918,1716.0
2020-09-02,25445,2049.0
2020-09-03,35306,1881.0
2020-09-04,21646,295.0
2020-09-05,36065,892.0
2020-09-06,30199,1494.0
2020-09-07,46976,3534.0
2020-09-08,21371,1354.0
2020-09-09,16835,1153.0
2020-09-10,7049,374.0
2020-09-11,36616,2395.0
